"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31798","upload and download excel validation","","2026-05-12","failed","2026-05-12","","UploadDownload.spec.js","",""
"","5966","Radiobutton and checkbox Test","","2026-05-12","passed","2026-05-12","","UiControls.spec.js","",""
"","3970","Page Playwright Test","","2026-05-12","passed","2026-05-12","","UIBasics.spec.js","",""
"","8418","Browser Context Playwright Test","","2026-05-12","passed","2026-05-12","","UIBasics.spec.js","",""
"","8853","Swag Lab Login Test","","2026-05-12","passed","2026-05-12","","E2ESwagLab.spec.js","",""
"","4471","Swag Lab Login Test with Special Locators","","2026-05-12","passed","2026-05-12","","E2ESwagLabWithSpecLocators.spec.js","",""
"","8505","Swag Lab Login Test","","2026-05-12","passed","2026-05-12","","E2ESwagLab.POMImplementation.spec.js","",""
"","6811","Screenshot and visual validation test","","2026-05-12","passed","2026-05-12","","MoreValidations.spec.js","",""
"","20065","Alert and hover Test","","2026-05-12","passed","2026-05-12","","MoreValidations.spec.js","",""
"","3364","Login Test Swag Labs","","2026-05-12","passed","2026-05-12","","UIBasics.spec.js","",""
"","8895","@Web Dropdown Test","","2026-05-12","passed","2026-05-12","","UiControls.spec.js","",""
"","2653","Swag Lab Login Test","","2026-05-12","passed","2026-05-12","","SwagLabDataDrivenTestUsingFixture.spec.js","",""
"","9123","Iframe Test","","2026-05-12","passed","2026-05-12","","MoreValidations.spec.js","",""
"","8477","Child Window Handling","","2026-05-12","passed","2026-05-12","","UiControls.spec.js","",""
"","2704","Visual validation test","","2026-05-12","passed","2026-05-12","","MoreValidations.spec.js","",""
"","3169","Swag Lab Login Test for problem_user","","2026-05-12","passed","2026-05-12","","SwagLabDataDrivenTestUsingJSON.spec.js","",""
"","2522","Swag Lab Login Test for standard_user","","2026-05-12","passed","2026-05-12","","SwagLabDataDrivenTestUsingJSON.spec.js","",""
"","7256","Hidden element validation Test","","2026-05-12","passed","2026-05-12","","MoreValidations.spec.js","",""
"","5471","@Web Login Test Practicetest Automation","","2026-05-12","passed","2026-05-12","","UIBasics.spec.js","",""
"","6136","Playwright Special Locators Test","","2026-05-12","passed","2026-05-12","","PlaywrightSpecialLocators.spec.js","",""
"","2782","Auto Suggestive Dropdown Test","","2026-05-12","passed","2026-05-12","","UiControls.spec.js","",""
